Name	Key Words	Proposed Emojis
Taxes	tax, taxes	💰
Housing	housing, rent, rent control	🏠
Bicycling	Bike, Bicycle, Bicycling	🚲
Bus Transportation	Bus	🚌
Schools	Oakland Unified, school, education	🍎
BART	BART	🚈
Public Works	public works, road, roads, sidewalk	🛠
Homelessness	homeless, homelessness	⛺
Police	police	🚔
Healthcare	hospital, doctor, clinic	🏥
Parks	park, playground	🌲
Construction	construction	🚧
Children	children	🧸
Small Business	retail, store, business	🏢
